,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
17,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL'}),0.42965736727109227,0.5668843394993642,0.32687896500607705,0.7607898523472374,1.342054806134031,1.0,0.08331293214956814,1.8106073874815143,0.44687865297884516,0.4881247598527578,0.4476991495152564,0.6687067935421507
18,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3320058100731353,0.9211916621586494,0.32687896500607705,0.9845579658201498,1.068787317845466,1.0,0.0210379809784767,5.103494586495913,0.09634837600571977,0.35287966553218114,0.8040558321260795,0.6697007825386636
19,"frozenset({'VELCOIDADE_velocidadeAlta', 'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.32687896500607705,0.44519509761906434,0.32687896500607705,1.0,2.2462062258728195,1.0,0.18135405227057785,inf,0.824227551269356,0.7342375663035137,1.0,0.8671187831517568
20,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})","frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.42965736727109227,0.3320058100731353,0.32687896500607705,0.7607898523472374,2.291495598163322,1.0,0.18423022273134745,2.792499383832683,0.9881845668854414,0.7518188465220746,0.6418978618976424,0.8726739090836936
21,"frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})","frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3320058100731353,0.42965736727109227,0.32687896500607705,0.9845579658201498,2.2914955981633223,1.0,0.18423022273134745,36.934423670239475,0.8437255832438068,0.7518188465220746,0.972924987027596,0.8726739090836936
22,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})","frozenset({'SENTIDO_Centro/Barro Preto', 'CLASSIFICAÇÃO_AUTOMÓVEL'})",0.42965736727109227,0.3320058100731353,0.32687896500607705,0.7607898523472374,2.291495598163322,1.0,0.18423022273134745,2.792499383832683,0.9881845668854414,0.7518188465220746,0.6418978618976424,0.8726739090836936
23,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})","frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta'})",0.3320058100731353,0.42965736727109227,0.32687896500607705,0.9845579658201498,2.2914955981633223,1.0,0.18423022273134745,36.934423670239475,0.8437255832438068,0.7518188465220746,0.972924987027596,0.8726739090836936
24,frozenset({'FAIXA_3'}),frozenset({'VELCOIDADE_velocidadeAlta'}),0.42470967198027243,0.9211916621586494,0.40386243404829314,0.9509141436907337,1.0322652524475036,1.0,0.012623425381931175,1.6055202815413305,0.054332124382740966,0.428710994853227,0.3771489457361568,0.694663590227173
25,frozenset({'FAIXA_3'}),frozenset({'SENTIDO_Centro/Barro Preto'}),0.42470967198027243,0.44519509761906434,0.3305049916045497,0.7781904049030028,1.7479761324076153,1.0,0.14142632772753153,2.5012664674777474,0.7438154056226631,0.6127273408105552,0.6002025321962638,0.7602863873635932
26,frozenset({'FAIXA_3'}),"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.42470967198027243,0.44519509761906434,0.3305049916045497,0.7781904049030028,1.7479761324076153,1.0,0.14142632772753153,2.5012664674777474,0.7438154056226631,0.6127273408105552,0.6002025321962638,0.7602863873635932
27,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3305049916045497,0.9211916621586494,0.31841677263434476,0.9634250033213763,1.045846421431736,1.0,0.013958330066419111,2.1547052631015027,0.0654772127756291,0.3411803672968947,0.5358994025194004,0.6545412330281603
28,"frozenset({'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.40386243404829314,0.44519509761906434,0.31841677263434476,0.7884287960198573,1.7709736702772148,1.0,0.13861919688354196,2.6223081966911126,0.7302657832633067,0.6000609022469289,0.6186565708554691,0.7518292665667263
29,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_3'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.3305049916045497,0.44519509761906434,0.3305049916045497,1.0,2.2462062258728195,1.0,0.18336578960357416,inf,0.8286916189421824,0.7423823698241835,1.0,0.8711911849120917
30,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.3305049916045497,0.44519509761906434,0.3305049916045497,1.0,2.2462062258728195,1.0,0.18336578960357416,inf,0.8286916189421824,0.7423823698241835,1.0,0.8711911849120917
31,frozenset({'FAIXA_3'}),"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.42470967198027243,0.44519509761906434,0.3305049916045497,0.7781904049030028,1.7479761324076153,1.0,0.14142632772753153,2.5012664674777474,0.7438154056226631,0.6127273408105552,0.6002025321962638,0.7602863873635932
32,"frozenset({'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.40386243404829314,0.44519509761906434,0.31841677263434476,0.7884287960198573,1.7709736702772148,1.0,0.13861919688354196,2.6223081966911126,0.7302657832633067,0.6000609022469289,0.6186565708554691,0.7518292665667263
33,"frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3305049916045497,0.9211916621586494,0.31841677263434476,0.9634250033213763,1.045846421431736,1.0,0.013958330066419111,2.1547052631015027,0.0654772127756291,0.3411803672968947,0.5358994025194004,0.6545412330281603
34,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELCOIDADE_velocidadeAlta', 'FAIXA_3'})","frozenset({'ENDEREÇO_Av. do Contorno, oposto ao nº 10812'})",0.31841677263434476,0.44519509761906434,0.31841677263434476,1.0,2.2462062258728195,1.0,0.17665918645785023,inf,0.8139943591705997,0.7152297371135952,1.0,0.8576148685567977
35,"frozenset({'SENTIDO_Centro/Barro Preto', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'VELCOIDADE_velocidadeAlta'}),0.3305049916045497,0.9211916621586494,0.31841677263434476,0.9634250033213763,1.045846421431736,1.0,0.013958330066419111,2.1547052631015027,0.0654772127756291,0.3411803672968947,0.5358994025194004,0.6545412330281603
36,"frozenset({'VELCOIDADE_velocidadeAlta', 'ENDEREÇO_Av. do Contorno, oposto ao nº 10812', 'FAIXA_3'})",frozenset({'SENTIDO_Centro/Barro Preto'}),0.31841677263434476,0.44519509761906434,0.31841677263434476,1.0,2.2462062258728195,1.0,0.17665918645785023,inf,0.8139943591705997,0.7152297371135952,1.0,0.8576148685567977
