,support,itemsets
41,0.8478662264952744,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
42,0.33570120304853945,"frozenset({'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0'})"
43,0.33568450177311876,"frozenset({'TAMANHO_bin_0.0', 'FAIXA_bin_1.0'})"
44,0.33551006622983554,"frozenset({'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
45,0.3302955569040289,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0'})"
46,0.28930134853520534,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'FAIXA_bin_1.0'})"
47,0.33568450177311876,"frozenset({'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0'})"
48,0.33551006622983554,"frozenset({'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
49,0.33551006622983554,"frozenset({'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
50,0.33551006622983554,"frozenset({'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
51,0.3302955569040289,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0'})"
52,0.3302955569040289,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0'})"
53,0.3301879264624286,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
54,0.3302955569040289,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0'})"
55,0.3301879264624286,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'FAIXA_bin_1.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
